# FrameID, Timestamp_Sec, Odom_X, Odom_Y, Odom_Yaw, Lat, Lon
881, 1762515315.728547, 692995.3982, 5339032.3653, 1.0795, 48.175155002, 11.596156251
882, 1762515315.751803, 692995.5020, 5339032.3078, 1.0850, 48.175154457, 11.596157623
883, 1762515315.791393, 692995.6164, 5339032.2448, 1.0911, 48.175153860, 11.596159136
884, 1762515315.821540, 692995.6366, 5339032.2338, 1.0922, 48.175153756, 11.596159402
885, 1762515315.854408, 692995.7768, 5339032.1592, 1.0996, 48.175153048, 11.596161257
886, 1762515315.894273, 692995.9416, 5339032.0753, 1.1082, 48.175152249, 11.596163438
887, 1762515315.918608, 692995.9585, 5339032.0669, 1.1091, 48.175152168, 11.596163662
888, 1762515315.952100, 692996.0714, 5339032.0108, 1.1153, 48.175151634, 11.596165156
889, 1762515315.988374, 692996.1860, 5339031.9539, 1.1220, 48.175151091, 11.596166673
890, 1762515316.026802, 692996.3321, 5339031.8813, 1.1312, 48.175150400, 11.596168607
891, 1762515316.052733, 692996.3498, 5339031.8726, 1.1323, 48.175150316, 11.596168842
892, 1762515316.095539, 692996.5203, 5339031.7898, 1.1430, 48.175149526, 11.596171100
893, 1762515316.123187, 692996.6317, 5339031.7371, 1.1497, 48.175149022, 11.596172576
894, 1762515316.161276, 692996.6581, 5339031.7248, 1.1512, 48.175148905, 11.596172925
895, 1762515316.183763, 692996.7653, 5339031.6755, 1.1572, 48.175148433, 11.596174346
896, 1762515316.214591, 692996.9094, 5339031.6108, 1.1649, 48.175147812, 11.596176257
897, 1762515316.257233, 692997.0668, 5339031.5531, 1.1725, 48.175147251, 11.596178350
898, 1762515316.298481, 692997.1164, 5339031.5317, 1.1750, 48.175147045, 11.596179007
899, 1762515316.328207, 692997.2299, 5339031.4829, 1.1804, 48.175146576, 11.596180513
900, 1762515316.358998, 692997.3440, 5339031.4344, 1.1855, 48.175146109, 11.596182027
901, 1762515316.389493, 692997.3655, 5339031.4254, 1.1864, 48.175146022, 11.596182312
902, 1762515316.412952, 692997.5055, 5339031.3671, 1.1919, 48.175145460, 11.596184171
903, 1762515316.457468, 692997.6824, 5339031.2961, 1.1976, 48.175144774, 11.596186520
904, 1762515316.507405, 692997.8117, 5339031.2454, 1.2010, 48.175144284, 11.596188237
905, 1762515316.521969, 692997.8220, 5339031.2414, 1.2013, 48.175144245, 11.596188373
906, 1762515316.567366, 692997.9465, 5339031.1925, 1.2042, 48.175143772, 11.596190027
907, 1762515316.606469, 692998.0969, 5339031.1332, 1.2075, 48.175143199, 11.596192024
908, 1762515316.630352, 692998.1136, 5339031.1267, 1.2078, 48.175143135, 11.596192246
909, 1762515316.650775, 692998.2707, 5339031.0651, 1.2110, 48.175142540, 11.596194333
910, 1762515316.696506, 692998.3661, 5339031.0283, 1.2129, 48.175142182, 11.596195600
911, 1762515316.728469, 692998.3884, 5339031.0197, 1.2133, 48.175142099, 11.596195896
912, 1762515316.756439, 692998.5305, 5339030.9652, 1.2160, 48.175141571, 11.596197783
913, 1762515316.785767, 692998.6951, 5339030.9020, 1.2185, 48.175140959, 11.596199971
914, 1762515316.823963, 692998.7247, 5339030.8907, 1.2189, 48.175140849, 11.596200364
915, 1762515316.859122, 692998.8412, 5339030.8468, 1.2202, 48.175140423, 11.596201912
916, 1762515316.884049, 692998.9505, 5339030.8063, 1.2210, 48.175140029, 11.596203364
917, 1762515316.927920, 692999.0728, 5339030.7614, 1.2215, 48.175139592, 11.596204990
918, 1762515316.958968, 692999.2166, 5339030.7089, 1.2217, 48.175139082, 11.596206902
919, 1762515316.986851, 692999.2360, 5339030.7018, 1.2217, 48.175139013, 11.596207159
920, 1762515317.033285, 692999.4109, 5339030.6383, 1.2217, 48.175138395, 11.596209484
921, 1762515317.057310, 692999.4284, 5339030.6319, 1.2218, 48.175138333, 11.596209716
922, 1762515317.086815, 692999.5393, 5339030.5913, 1.2219, 48.175137938, 11.596211191
923, 1762515317.116179, 692999.6495, 5339030.5504, 1.2220, 48.175137540, 11.596212656
924, 1762515317.150538, 692999.7925, 5339030.4967, 1.2219, 48.175137019, 11.596214556
925, 1762515317.187254, 692999.8174, 5339030.4873, 1.2219, 48.175136928, 11.596214887
926, 1762515317.233677, 692999.9870, 5339030.4238, 1.2211, 48.175136311, 11.596217140
927, 1762515317.257904, 693000.0928, 5339030.3845, 1.2202, 48.175135929, 11.596218546
928, 1762515317.289238, 693000.1140, 5339030.3766, 1.2200, 48.175135853, 11.596218828
